title,price,stock,desc
Flensburger Pilsner,2.25,In Stock,"A classic German Pilsner from Flensburger that has a malty, nutty nose, leading to notes of caramel, bitter hops, savoury malt and light touches of lemongrass throughout the palate."
Flavoured Beer Collection4 Beers,7.95,In Stock,"Try four delicious flavoured beers with this collection. Inside is: a 35cl can of citrus forward Hitachino Nest Yuzu Lager, 33cl of Shandy Shack Elderflower Lager Top, a 50cl can of zesty Schofferhofer Grapefuit, and a 33cl bottle of Umbrella Alcoholic Ginger Beer."
Pacifico Clara Pale Lager,1.95,In Stock,"Pacifico Clara pale lager is a malty, bitter beer from Mexico. Great for easy drinking."
Schneider's Bayrisch Hell Helles Lager,2.95,In Stock,"A classic German helles lager from Schneider's Landbrauerei, Bayrisch Hell offers malty aromas, complimented by notes of grain, sweet caramel and soft, bitter hops throughout the palate."
Tynt Meadow English Trappist Ale,2.95,In Stock,"A bottle of Tynt Meadow English Trappist ale, a malty, floral beer with notes of yeast, summer flowers and soft fruit."
Schofferhofer Grapefruit,1.75,In Stock,"A combination of Schofferhofer Hefeweizen wheat beer and pure grapefruit juice, this is a zesty, tangy radler with notes of light malt, soft hops, vibrant citrus and banana throughout the palate."
World Beer Bundle,8.75,In Stock,"Explore different styles of beer from around the world with this bundle. This contains one each of: Pistonhead Kustom Lager (Sweden), Hitachino Nest White Ale (Japan), Modelo Especial Pale Lager (Mexico) and Erdinger Urweisse (Germany)."
ELB Nightwatchman Dark Premium Ale,2.95,In Stock,A rich dark ale with a depth of flavour that you wouldn't expect from the ABV – red-tinged and fruity.
ELB Foundation Best Bitter,2.75,In Stock,"ELB's second beer – a classic British bitter with a twist: a blend of English and New Zealand hops. A malty, amber best."
Harviestoun Ola Dubh 14 Beer,4.45,In Stock,"A rich, complex beer from Harviestoun that has been matured in ex-Highland Park whisky casks for 14 years. This creates notes of vanilla, red fruit, cinnamon, charred oak and soft whisky spice."
Beavertown Brewery Bundle3 Cans,7.95,In Stock,"Beavertown is one of the best-loved of London's new wave of craft brewers, with a solid core range of great beers. Here we've got a bundle of one can of each of them, with easy-drinking Neck Oil and fruity-and-hop-laden Gamma Ray joined by malty Lupuloid IPA. The perfect introduction to the brewery and its great beers."
Magic Rock Pale Ale and IPA Collection3 Cans,6.75,In Stock,"Try Huddersfield's Magic Rock range with this collection. Inside is a 33cl can each of High Wire West Coast Pale Ale, High Wire Grapefruit Pale Ale and Cannonball IPA."
Berliner Pilsner,2.25,In Stock,"A classic German pilsner – malty and hoppy, with fresh straw and toasty biscuits on the palate."
Westmalle Dubbel,2.75,In Stock,"Westmalle Dubbel is a rich trappist beer that undergoes a second fermentation in the bottle. The flavour is rich and herby, with notes of sweet fruit and bitter hops."
Harbour Brewing Helles Lager,2.25,In Stock,"A fruity, herbal Helles lager from Harbour Brewing that is made with Saaz hops, creating notes of lemon, sweet malt and crisp garden herbs that linger in the finish."
ELB Beyond The Tower Session IPA,2.95,In Stock,"A tropical Session IPA from East London Breweing Co, Beyond The Tower is made with a combination of Citra, Chinook and Madarina Bavaria hops."
Orval Trappist Ale,3.45,In Stock,"A medium-bodied Belgian ale, Orval Trappist is a dry, hoppy beer with notes of lemon, freshly-cut hay, spices and summer flowers."
Samuel Smith's Organic Pale Ale,3.45,In Stock,"A full, rounded pale ale from Samuel Smith brewery that offers notes of rich malt, sweet fruit and bitter hops."
